run_date,code,name,close,market_cap_억원,stock_return_pct,kospi_return_pct,rs_index,ma20,ma20_gap_pct,volatility_contraction,price_change_5d_pct,ma120,avg_volume_55,avg_volume_10,volume_change_pct,industry,core_theme,etf_trend_good,etf_names,etf_details,source_url
2026-08-28,443060,HD현대마린솔루션,221000,99081,30.77,21.56,107.58,201505.00,9.67,X,+11.79,209065.83,151451,87444,-42.26,조선,밸류업(24년 기업가치 제고계획 발표) / 조선기자재,3개통과,"SOL 조선TOP3플러스 · 편입상위
TIGER 조선TOP10 · 편입상위
HANARO Fn조선해운 · 편입상위","SOL 조선TOP3플러스 (편입상위, 비중 3.64%, 20일선 -1.82%)
TIGER 조선TOP10 (편입상위, 비중 7.92%, 20일선 -1.66%)
HANARO Fn조선해운 (편입상위, 비중 8.69%, 20일선 -0.78%)",https://finance.naver.com/item/main.naver?code=443060
2026-08-28,017670,SK텔레콤,98600,211782,28.89,21.56,106.03,93630.00,5.31,X,-3.52,92045.00,1624073,1603181,-1.29,무선통신서비스,통신 / 자율주행차 / UAM(도심항공모빌리티),3개통과,"TIME Korea플러스배당액티브 · 편입상위
TIME 코스피액티브 · 편입상위
TIGER 경기방어 · 편입상위","TIME Korea플러스배당액티브 (편입상위, 비중 3.51%, 20일선 +2.72%)
TIME 코스피액티브 (편입상위, 비중 2.06%, 20일선 +4.20%)
TIGER 경기방어 (편입상위, 비중 9.11%, 20일선 +3.55%)",https://finance.naver.com/item/main.naver?code=017670
2026-08-28,051900,LG생활건강,318000,47622,28.23,21.56,105.48,307725.00,3.34,X,+1.60,258604.17,82576,70712,-14.37,화장품,밸류업(24년 기업가치 제고계획 발표) / 여름 / 음식료업종,2개통과,"TIGER 화장품 · 편입상위
TIGER LG그룹플러스 · 편입상위
TIGER 중국소비테마 · 편입상위","TIGER 화장품 (편입상위, 비중 9.58%, 20일선 +16.19%)
TIGER LG그룹플러스 (편입상위, 비중 4.81%, 20일선 +5.07%)
TIGER 중국소비테마 (편입상위, 비중 5.63%, 20일선 +8.46%)",https://finance.naver.com/item/main.naver?code=051900
2026-08-28,282330,BGF리테일,147000,25407,27.83,21.56,105.16,140620.00,4.54,X,+3.96,129448.33,88966,66522,-25.23,백화점과일반상점,편의점 / 밸류업(25년 기업가치 제고계획 발표) / 소매유통,2개통과,"RISE K엔터&여행레저 · 편입상위
TIGER 우량가치 · 편입상위","RISE K엔터&여행레저 (편입상위, 비중 4.85%, 20일선 +0.60%)
TIGER 우량가치 (편입상위, 비중 2.28%, 20일선 +3.34%)",https://finance.naver.com/item/main.naver?code=282330
2026-08-28,005090,SGC에너지,62800,9049,27.51,21.56,104.90,57425.00,9.36,X,+0.00,52395.83,141835,163174,+15.04,에너지장비및서비스,온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),0개통과,,,https://finance.naver.com/item/main.naver?code=005090
2026-08-28,003550,LG,116300,175836,23.72,21.56,101.78,109685.00,6.03,X,+7.99,102988.33,462533,282273,-38.97,복합기업,밸류업(24년 기업가치 제고계획 발표) / 지주사 / 스마트팩토리(스마트공장),3개통과,"TIGER 200 IT · 편입상위
TIGER 200IT레버리지 · 편입상위
TIGER 지주회사 · 편입상위","TIGER 200 IT (편입상위, 비중 1.73%, 20일선 +3.38%)
TIGER 200IT레버리지 (편입상위, 비중 3.49%, 20일선 +5.10%)
TIGER 지주회사 (편입상위, 비중 7.82%, 20일선 +4.80%)",https://finance.naver.com/item/main.naver?code=003550
2026-08-28,073240,금호타이어,7360,21142,23.49,21.56,101.59,7422.50,-0.84,O,+1.52,5903.92,6901518,4247200,-38.46,자동차부품,타이어,3개통과,"KODEX 자동차 · 편입상위
KODEX 200동일가중 · 편입상위
TIGER 200동일가중 · 편입상위","KODEX 자동차 (편입상위, 비중 2.08%, 20일선 -3.79%)
KODEX 200동일가중 (편입상위, 비중 0.87%, 20일선 +4.16%)
TIGER 200동일가중 (편입상위, 비중 0.87%, 20일선 +4.27%)",https://finance.naver.com/item/main.naver?code=073240
2026-08-28,086790,하나금융지주,136000,373140,23.30,21.56,101.43,129960.00,4.65,X,+5.59,121474.17,901405,626093,-30.54,은행,밸류업(24년 기업가치 제고계획 발표) / STO(토큰증권 발행) / 토스(toss),3개통과,"KODEX 200 · 편입상위
TIGER 200 · 편입상위
KODEX 200TR · 편입상위","KODEX 200 (편입상위, 비중 0.86%, 20일선 +2.42%)
TIGER 200 (편입상위, 비중 0.87%, 20일선 +2.51%)
KODEX 200TR (편입상위, 비중 0.86%, 20일선 +2.52%)",https://finance.naver.com/item/main.naver?code=086790
2026-08-28,078935,GS우,65700,120020,21.22,21.56,99.72,61325.00,7.13,X,+3.63,55768.33,8171,8291,+1.46,석유와가스,개별 테마 확인 필요,0개통과,,,https://finance.naver.com/item/main.naver?code=078935
2026-08-28,055550,신한지주,109700,514986,19.50,21.56,98.31,105390.00,4.09,X,+5.38,99202.50,1428142,935173,-34.52,은행,밸류업(24년 기업가치 제고계획 발표) / STO(토큰증권 발행) / 지주사,3개통과,"KODEX 200 · 편입상위
TIGER 200 · 편입상위
KODEX 200TR · 편입상위","KODEX 200 (편입상위, 비중 1.14%, 20일선 +2.42%)
TIGER 200 (편입상위, 비중 1.16%, 20일선 +2.51%)
KODEX 200TR (편입상위, 비중 1.14%, 20일선 +2.52%)",https://finance.naver.com/item/main.naver?code=055550
